user_id,created_at,hashtags,retweet_count,favorite_count,user_name,user_friends_count,user_followers_count,user_location,user_tweet_count,place,geo,tweets
12707222,2017-11-17 06:31:41,[],0,0,Annelize Bester,1686,1319,"Los Angeles, CA, U.S.A.",115370,None,None,"b""FoxNews: Rep. SteveScalise reacted to an expletive-laced message from comedian Rosie O'Donnell after the House pass\xe2\x80\xa6 https://t.co/9hIawREal5"""
123785291,2017-11-17 06:28:00,[],2,2,Rubin Khoddam,37,166,"Los Angeles, CA",417,None,None,b'@jonfavs check out the @gradtaxwalkout to see the movement building around this terrible tax reform. Grad students\xe2\x80\xa6 https://t.co/MPRfEzax8a'
19789347,2017-11-17 06:27:56,[],0,0,Mitch Chase,2379,845,"Los Angeles, CA",13063,None,None,b'Real estate industry comes out against GOP tax bill: It will hurt homeowners https://t.co/gHZ6KWjGeY'
20419354,2017-11-17 06:17:17,[],0,0,Diane Lenning-EdM/JD,1493,777,"Los Angeles, CA",19856,None,None,"b'Understanding constituents weren\xe2\x80\x99tgetting same \xe2\x80\x9ctax reduction\xe2\x80\x9d asmost states, TaxReformersIssa&amp;others RepresentedCA. https://t.co/1DayllBX8R'"
731791704810913792,2017-11-17 06:05:01,[],0,0,Mojo Elliott,282,64,"Los Angeles, CA",26,None,None,b'@CBSNews Employees making over $150K per year are the ones getting burned by tax reform. Their taxes are going way\xe2\x80\xa6 https://t.co/2y4edWEwZL'
192106769,2017-11-17 06:01:23,[],0,0,Lars Keller,23,50,"Los Angeles, CA",8617,None,None,b'Congress passes tax reform that critics warn could politicize houses of worship https://t.co/qGfo1LQJYj'
858407531722547201,2017-11-17 05:57:51,['TaxReform'],5,6,Breaking News,6174,52906,"Los Angeles, CA",51164,"Place(_api=<tweepy.api.API object at 0x0000000007DAA940>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000000007DAA940>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",None,"b""'Bless Your Heart': @SteveScalise Responds to @Rosie Attack Over #TaxReform https://t.co/MHeBRSTOqI @newnewspage"""
858407531722547201,2017-11-17 05:54:56,['RosieODonnell'],5,5,Breaking News,6174,52906,"Los Angeles, CA",51164,"Place(_api=<tweepy.api.API object at 0x0000000007DAA940>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000000007DAA940>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",None,b'Rep. @SteveScalise reacted to an expletive-laced message from comedian #RosieODonnell after the House passed its ta\xe2\x80\xa6 https://t.co/CqEJOs1Jop'
35075859,2017-11-17 05:50:11,[],2,4,Lori Hultin,1448,2070,"Westlake Village, CA",37573,None,None,"b'The @GOP- gutless cowards sneaking around in the middle of the night, shoving things into their tax \xe2\x80\x9creform\xe2\x80\x9d bill.\xe2\x80\xa6 https://t.co/xT0XpsnyHv'"
80375427,2017-11-17 05:50:00,[],0,0,Freedom News Group,76,1174,"Malibu, CA",4379,None,None,b'\xe1\x80\x9e\xe1\x80\x99\xe1\x81\xbc\xe1\x80\x90 \xe1\x80\x91\xe1\x80\x9b\xe1\x80\x99\xe1\x80\xb7\xe1\x80\xb9 \xe1\x80\x9b\xe1\x80\xb2\xe2\x80\xa6 https://t.co/xvO7szAVkd https://t.co/ZfMcAkrkq7'
