user_id,created_at,hashtags,retweet_count,favorite_count,user_name,user_friends_count,user_followers_count,user_location,user_tweet_count,place,geo,happiness_index,tweets,,,,,,,
70850380,2017/11/15 19:19,[],0,0,matt mckenna,1962,2031,"Los Feliz, California",6823,None,None,0,The is no German/French/Japanese word for the obscure emotion of pity felt for how inadequate &amp; feeble the mass sho‚Ä?https://t.co/z9VKFapOAy,,,,,,,
28122118,2017/11/15 19:15,[],0,0,Dan Dan do-dan Banana-fana fo-fan Fe-fi-mo-man DAN,255,108,LA,1536,None,None,-1,@realDonaldTrump deletes his tweet about the wrong mass shooting after @nytimes  calls him out for it and then dele‚Ä?https://t.co/7KbHmpzTJV,,,,,,,
28122118,2017/11/15 19:11,[],0,0,Dan Dan do-dan Banana-fana fo-fan Fe-fi-mo-man DAN,255,108,LA,1536,None,None,-1,@realDonaldTrump @nytimes sounds like you're made that they published the story about you tweeting about the mass s‚Ä?https://t.co/kNuSl2XgaW,,,,,,,
20012063,2017/11/15 19:08,[],64,126,elan gale,1159,204128,los angeles ,45001,None,None,-1,"To be clear, Trump tweeted condolences to the wrong mass shooting, then deleted the tweet, and then never bothered‚Ä?https://t.co/3JIBjzi2XA",,,,,,,
21328006,2017/11/15 19:05,[],2,3,David Lazarus,1103,12083,"Los Angeles, CA",62400,None,None,0,Trump tweets condolences to wrong town after mass shooting https://t.co/2f7pGHyPO6,,,,,,,
8.46E+17,2017/11/15 19:00,[u'Trump'],0,0,Curt and Frank,182,22,"Los Angeles, CA",3290,None,None,-1,Confused president tweets condolences to Texas after mass shooting in California https://t.co/IChxflKgbs #Trump‚Ä?https://t.co/HcZZVJasj3,,,,,,,
21140012,2017/11/15 18:59,[],0,0,TheLooch,1244,1345,"Los Angeles, CA",41920,None,None,-1,It's pretty sad that I know the race of the CA gunman simply by the lack of alt-right tweets regarding this mass sh‚Ä?https://t.co/7xQ9lHGhs1,,,,,,,
8.15E+17,2017/11/15 18:50,[],0,1,blue check lib,15,972,"Los Angeles, CA",406,None,None,0,If only he could keep his mass shooting template straight. https://t.co/j54sTxR45J https://t.co/i63qz701tZ,,,,,,,
1440348968,2017/11/15 18:50,[],0,0,du-rag militia,831,249,"Los Angeles, CA",52609,None,None,-1,"@ABC7 we need to have extreme vetting of all white males. they are responsible for every mass shooting, care to add‚Ä?https://t.co/qjes6m4V1T",,,,,,,
2821010308,2017/11/15 18:39,[],0,0,J. Walker,158,38,"Los Angeles, CA",6474,None,None,0,Trump tweets condolences to wrong town after mass shooting https://t.co/4k8zzGDDC7 https://t.co/vIqd64f3Nm,,,,,,,
